"",Activity,Count
4,Clue Scrolls (all),214120
8,Clue Scrolls (hard),147334
7,Clue Scrolls (medium),131388
38,Hespori,113723
18,Barrows Chests,99359
14,Rifts closed,94176
6,Clue Scrolls (easy),92153
9,Clue Scrolls (elite),92051
5,Clue Scrolls (beginner),77660
69,Vorkath,76232
10,Clue Scrolls (master),72746
70,Wintertodt,71484
72,Zulrah,64821
23,Chambers of Xeric,64796
62,Tombs of Amascut,60260
41,Kraken,57668
54,Tempoross,56533
35,General Graardor,56121
40,King Black Dragon,55611
52,Skotizo,50170
56,The Corrupted Gauntlet,49146
63,Tombs of Amascut: Expert Mode,47211
31,Dagannoth Rex,43089
36,Giant Mole,42862
30,Dagannoth Prime,36746
32,Dagannoth Supreme,36691
22,Cerberus,32915
45,Nex,32232
27,Commander Zilyana,30930
34,Duke Sucellus,30762
50,Sarachnis,30454
37,Grotesque Guardians,29605
49,Phantom Muspah,28775
66,Vardorvis,28409
16,Alchemical Hydra,28253
55,The Gauntlet,27850
39,Kalphite Queen,27669
21,Calvar'ion,27366
42,Kree'Arra,27142
61,Thermonuclear Smoke Devil,26442
43,K'ril Tsutsaroth,23996
29,Crazy Archaeologist,23953
15,Abyssal Sire,23225
28,Corporeal Beast,22740
65,TzTok-Jad,21710
11,LMS - Rank,21554
59,Theatre of Blood,21506
71,Zalcano,20860
26,Chaos Fanatic,19910
44,Mimic,19385
24,Chambers of Xeric: Challenge Mode,19111
68,Vet'ion,18272
20,Callisto,17675
17,Artio,16997
53,Spindel,16949
67,Venenatis,16229
25,Chaos Elemental,14985
51,Scorpia,14240
57,The Leviathan,13393
19,Bryophyta,12032
58,The Whisperer,11666
33,Deranged Archaeologist,10608
48,Obor,9727
13,Soul Wars Zeal,8571
46,Nightmare,5979
47,Phosani's Nightmare,5500
60,Theatre of Blood: Hard Mode,5160
64,TzKal-Zuk,5045
0,Bounty Hunter - Hunter,3205
1,Bounty Hunter - Rogue,760
12,PvP Arena - Rank,177
3,Bounty Hunter (Legacy) - Rogue,0
2,Bounty Hunter (Legacy) - Hunter,0
73,Colosseum Glory,0
74,Deadman Points,0
75,League Points,0
